feature,r2,slope,n,p,pheno_key
precip_mean_lpf14_peak_doy,0.053053798936710056,0.01096492608250892,96,0.02396502368064359,pome_fruit
pre_flower_vpd_mean_lpf3_peak,0.052934993364752894,3.398815135119941,143,0.005703662309276002,stone_fruit
cell_exp_vpd_mean_lpf3_peak,0.05280581237713504,1.006049301896787,96,0.024305808804962418,pome_fruit
fruit_set_et0_mean_lpf30_peak,0.052436204490324635,-0.17826446887294783,354,1.3544097287764587e-05,olive
vpd_mean_lpf14_peak_doy,0.05236740171873629,-0.030429940936406615,386,5.577464104128611e-06,vine
vpd_max_lpf14_peak_doy,0.052169954148488594,-0.00705909437332781,191,0.0014826946838130265,walnut
flower_et0_mean_lpf7_peak,0.05181983881549545,-0.08360979907677102,205,0.0010286198862558072,almond
fruit_fill_vpd_max_lpf7_peak,0.0516670732813797,1.2148754446072716,143,0.00633082843862055,stone_fruit
fruit_fill_vpd_max_lpf30_peak,0.0515372691358535,1.4661075300383015,143,0.006398834810985057,stone_fruit
fruit_set_precip_mean_lpf3_peak,0.05139219297944403,-0.1613169919604577,143,0.00647571431488381,stone_fruit
fruit_set_precip_mean_lpf14_peak,0.051238004446764567,-0.4772280411378986,143,0.006558443799407785,stone_fruit
vpd_mean_lpf30_peak_doy,0.05084547930760661,-0.036795548444763945,386,7.693486230134153e-06,vine
maturation_et0_mean_lpf30_peak,0.0507452484993823,-0.08978789465848681,96,0.027335695716772603,hazelnut
et0_mean_lpf14_peak_doy,0.05065606208000715,-0.06446824189749006,143,0.006880401970753077,stone_fruit
fruit_set_precip_mean_lpf7_peak,0.050449037271372114,-0.2860697260845597,143,0.0069987431035608266,stone_fruit
bud_break_et0_mean_lpf30_peak,0.05028679936903412,1.1164613959332892,386,8.657400518383101e-06,vine
maturation_vpd_mean_lpf14_peak,0.05028574548571292,-0.06086783062996022,205,0.0012278545493855668,almond
maturation_tmax_mean_lpf14_peak,0.050167501678959434,-0.018900089223325253,205,0.0012447296825901317,almond
fruit_fill_et0_mean_lpf7_peak,0.04990787713103269,1.3233948858031488,143,0.007317877858180218,stone_fruit
flower_vpd_max_lpf14_peak,0.04975241593621774,-3.0021390053656325,57,0.09535831955386799,apricot
vpd_mean_lpf3_peak_doy,0.0495265567798451,-0.026556673530714118,57,0.09613293324867957,apricot
fruit_set_tmax_mean_lpf30_peak,0.04950350630112479,-0.04996102355872902,354,2.395142026245802e-05,olive
flower_vpd_max_lpf3_peak,0.04940905600824356,-0.11565611472021481,354,2.439511930318468e-05,olive
maturation_et0_mean_lpf30_peak,0.04924322366114451,-0.18583143034023578,354,2.5194114421251265e-05,olive
fill_vpd_max_lpf7_peak,0.048870289593721514,0.07555143470293635,96,0.030427535235801627,hazelnut
precip_mean_lpf7_peak_doy,0.04823179026663586,0.00047172978882160135,205,0.0015565305614420296,almond
flower_vpd_mean_lpf3_peak,0.0479272973432084,-0.12363254045548049,354,3.253523723875448e-05,olive
flower_vpd_mean_lpf30_peak,0.047697251205636684,-3.993840629785366,57,0.10265839006403302,apricot
fill_tmax_mean_lpf14_peak,0.04769322271084537,0.031506246318143284,96,0.032549338905210584,hazelnut
maturation_precip_mean_lpf3_peak,0.047552114769971565,0.010306045755184371,96,0.032813690026589785,hazelnut
precip_mean_lpf3_peak_doy,0.04683535811120805,0.009822704336980098,96,0.03419088087143814,pome_fruit
maturation_tmax_mean_lpf7_peak,0.046755594879249185,-0.02697596437332431,96,0.03434776555881718,hazelnut
flower_set_vpd_max_lpf3_peak,0.04661806169044662,-0.2866628950780381,118,0.01886399501453099,cherry
maturation_vpd_max_lpf14_peak,0.046588968536408516,-0.05569608814981924,205,0.0018819753901144897,almond
fill_tmax_mean_lpf7_peak,0.04656455028588539,0.030642091314148887,96,0.034726540662351535,hazelnut
vpd_mean_lpf3_peak_doy,0.04646544215737622,-0.025431082707754273,52,0.12484944151725497,other
fruit_fill_vpd_max_lpf14_peak,0.046370493707231036,1.2920024913196164,143,0.009798968443784157,stone_fruit
vpd_mean_lpf14_peak_doy,0.04625617899021712,-0.006497188668113015,191,0.0028090583970742074,walnut
fruit_fill_vpd_mean_lpf3_peak,0.04610521055961041,0.9923303239956017,143,0.010016266225163719,stone_fruit
tmax_mean_lpf14_peak_doy,0.04597668073243413,-0.04638036646084945,386,2.1513738365281943e-05,vine
flower_et0_mean_lpf14_peak,0.045742071849947,-0.09216896623419421,205,0.002075621999838973,almond
kernel_fill_et0_mean_lpf30_peak,0.04512615037197696,-0.06503077755802529,205,0.002228923129355498,almond
maturation_tmax_mean_lpf7_peak,0.04462830162892931,-0.01752109917508965,205,0.0023611192331486966,almond
flower_tmax_mean_lpf30_peak,0.04446921142810527,-0.38095492390214103,57,0.11535339883485106,apricot
kernel_fill_precip_mean_lpf3_peak,0.04441716801877686,0.007154748114512764,205,0.0024195372360747776,almond
et0_mean_lpf30_peak_doy,0.043772297855179124,-0.010350360805351348,354,7.294193709457001e-05,olive
bud_break_precip_mean_lpf30_peak,0.04358051496405591,-0.36668224309295017,386,3.5680557985022286e-05,vine
fruit_set_et0_mean_lpf14_peak,0.04290550064115308,-0.14971383570613545,354,8.632442136512306e-05,olive
cell_exp_vpd_mean_lpf7_peak,0.042832609276112286,1.0311235942474937,96,0.04305383641174602,pome_fruit
tmax_mean_lpf3_peak_doy,0.04272121560736083,-0.0019284027463814892,205,0.002944761127191734,almond
pre_flower_tmax_mean_lpf3_peak,0.04270752452558495,-0.32538938227104713,96,0.04336623057244671,pome_fruit
flower_et0_mean_lpf30_peak,0.04267270334212174,-0.11478827273547576,205,0.0029613663786438506,almond
cell_div_et0_mean_lpf3_peak,0.04253703101064517,0.7679638615498712,96,0.0437958096410203,pome_fruit
fruit_set_precip_mean_lpf30_peak,0.04252939833483018,-0.6989049647128178,143,0.013470204074430467,stone_fruit
maturation_et0_mean_lpf3_peak,0.042179280414695604,-0.16308029483051148,191,0.004369634659877696,walnut
cell_div_et0_mean_lpf7_peak,0.04196119983316905,0.8109835766164162,96,0.045279509532148286,pome_fruit
maturation_et0_mean_lpf14_peak,0.0419077356771102,-0.05799816745501856,205,0.003236030370220393,almond
cell_exp_vpd_max_lpf3_peak,0.04186487417745006,0.8508438522622889,96,0.04553273876285155,pome_fruit
