comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Alt Penedès,2018,Olivera per a oliva d'oli,olive,olive,799.0,0.8,279.4657440942811,142.868963421988,2.467468222207701,23.46989156781701,14.058431510914,1.5496641708940029,11,311.335115857882,171.48245749067,3.3947901295811813,29.37809713763493,19.107809028413406,2.194348981079782,38,197.2948218906752,384.78725199977424,1.8719805255419737,20.139944115644063,12.142988701342317,1.018823218588243,2
Alt Urgell,2018,Olivera per a oliva d'oli,olive,olive,129.0,0.8,217.9390308856964,296.46999929100275,1.8697337428416831,19.429367279884044,9.862873479455,1.1806610505730195,1,258.54522013664246,164.76000102236867,2.6185221057028136,25.579254905478965,14.44163539470528,1.8442340474563343,20,162.999368339777,365.310001546517,1.9549517058439616,17.00857077472345,7.508389010686704,1.0460647968324577,4
Anoia,2018,Olivera per a oliva d'oli,olive,olive,594.0,0.8,266.10170737923454,219.3800003863871,2.6275949614090037,23.92337761976129,13.967662833362224,1.5875422649454802,12,308.4792644852701,201.9299983344972,3.718238687967088,30.30739706469373,19.276652375559472,2.4435376986004287,41,188.93292257467905,402.1699977386743,2.0736512075494704,20.5473645410486,11.4831943823575,1.1253158711773923,7
Baix Camp,2018,Olivera per a oliva d'oli,olive,olive,2249.0,0.452,291.4362180082493,86.21722072683914,2.426841570976852,23.65449602346693,15.504751007160486,1.487597776242846,11,321.8768932051524,109.14683873740174,3.0961274978850364,29.321252126584664,21.01235786378819,2.016743592824118,30,226.29457228614905,307.0583216748208,2.088065590463885,21.073674404181688,14.11307466026194,1.0985956125262049,5
Baix Ebre,2018,Olivera per a oliva d'oli,olive,olive,19442.0,1.069,306.7953262282911,97.73489524507978,2.7620342154250523,25.06379138327581,15.618318590837037,1.7705472763714685,19,349.6182055375256,70.12420415538804,3.63460522798125,31.39354425637645,21.20012387226191,2.574665176526798,56,245.36522638272515,336.25405522693563,2.54212248766992,22.09230891482969,14.265338927859087,1.328789977907134,15
Baix Empordà,2018,Olivera per a oliva d'oli,olive,olive,579.0,1.2,289.133619948589,92.83053064054342,2.426344394691561,24.084031529486147,15.794889262261073,1.5494541516442002,15,344.9310411050816,60.89097309936162,3.433044262901705,30.649121442196225,21.596988029469685,2.413168208104383,50,223.2213704916649,334.6190709154695,2.00574477958694,21.24149101347828,13.86119393551236,1.1151104677484085,5
Baix Llobregat,2018,Olivera per a oliva d'oli,olive,olive,481.0,1.14,266.11622216796667,225.31406328643212,2.716563986789187,24.500001161865715,14.473159255150946,1.6863454101351456,15,304.61277056040154,212.33333391130355,3.8098424912158833,30.618410387983197,19.68992527994093,2.495284205651742,42,186.4969095942388,415.3697531184044,2.0447236351135984,20.977601991462446,12.154914304844128,1.1629593994922187,7
Baix Penedès,2018,Olivera per a oliva d'oli,olive,olive,1147.0,0.891,272.7562938321525,154.4168774205032,2.2386758854708084,23.729492915119224,15.77377576169239,1.4701810430655058,8,299.13204926898925,165.2076573390346,2.988180032213328,29.08117370381145,21.054722999504044,1.9439694884530452,27,195.79806373790325,350.26415526892714,1.931228246810533,21.13069152305861,14.27357117814818,1.052467859478629,3
Conca de Barberà,2018,Olivera per a oliva d'oli,olive,olive,751.0,1.432,271.6347469024813,179.26999975182116,2.546474004046715,22.37940602568927,12.65054955074616,1.4676119903263376,14,320.1856807192322,142.44999790564177,3.408762217295874,28.93920099783784,18.05399248816056,2.2879696707771067,40,194.4657756254288,295.0000009983778,2.20121949707779,19.11950602328569,10.987704591446583,1.033484166992489,10
Garrigues,2018,Olivera per a oliva d'oli,olive,olive,15314.0,0.83,310.8552314150856,140.16394510572596,3.356166502738297,24.57270922591425,13.818903995224414,1.9069803043233924,20,377.5979704429295,79.71917812165134,4.227526416412925,31.62120433750024,19.27100453224996,3.056019636083885,58,220.30425870904995,253.1259358211232,2.7035114683646557,20.53546058393449,11.593954431975382,1.2802522573854611,17
